pasp,asp,terminated,block,floor,unit,carpark,price,revision,terms,related
2024-04-09,2024-04-16,,薄扶林道86D號 86D Pok Fu Lam Road,,,,333550000,,-售價 5%之臨時訂金於買方簽署臨時買賣合約時繳付; 5% of Transaction Price being preliminary deposit shall be paid upon the signing of the preliminary agreement for sale and purchase; -售價 5%之加付訂金於買方簽署臨時買賣合約後 5 個工作天內繳付; 5% of Transaction Price being further deposit shall be paid within 5 working days after the date of the signing of the preliminary agreement for sale and purchase; -售價 10%之部份售價於買方簽署臨時買賣合約後 30 天內繳付; 10% of Transaction Price being part payment shall be paid within 30 days after the date of the signing of the preliminary agreement for sale and purchase; -售價 10%之加付部份售價於買方簽署臨時買賣合約後 120 天內繳付; 10% of Transaction Price being further part payment shall be paid within 120 days after the date of the signing of the preliminary agreement for sale and purchase; -售價 70%之售價餘款於買方簽署臨時買賣合約後 180 天內繳付。 70% of Transaction Price being balance of the Transaction Price shall be paid within 180 days after the date of the signing of the preliminary agreement for sale and purchase.,
2025-04-02,2025-04-10,,薄扶林道86C號 86C Pok Fu Lam Road,,,,230496000,,-售價 5%之臨時訂金於買方簽署臨時買賣合約時繳付; 5% of Transaction Price being preliminary deposit shall be paid upon the signing of the preliminary agreement for sale and purchase; -售價 5%之加付訂金於買方簽署正式買賣合約時繳付; 5% of Transaction Price being further deposit shall be paid upon signing of agreement for sale and purchase; -售價15%之部份售價於買方簽署臨時買賣合約後26天內繳付; 15% of Transaction Price being part payment shall be paid within 26 days after the date of the signing of the preliminary agreement for sale and purchase; -售價75%之售價餘款於買方簽署臨時買賣合約後60天內繳付。 75% of Transaction Price being balance of the Transaction Price shall be paid within 60 days after the date of the signing of the preliminary agreement for sale and purchase. -附設裝飾及家具優惠 Exclusive Decorations and Furniture Offer (見備註/See Remarks 7(b)) -靈活成交安排 Flexible Completion Arrangement (見備註/See Remarks 7(c)),
2025-08-09,2025-08-15,,薄扶林道86E號 86E Pok Fu Lam Road,,,,189240000,,-售價 5%之臨時訂金於買方簽署臨時買賣合約時繳付; 5% of Transaction Price being preliminary deposit shall be paid upon the signing of the preliminary agreement for sale and purchase; -售價5%之部份售價於買方簽署臨時買賣合約後10天內繳付; 5% of Transaction Price being part payment shall be paid within 10 days after the date of the signing of the preliminary agreement for sale and purchase; -售價90%之售價餘款於買方簽署臨時買賣合約後27天內繳付。 90% of Transaction Price being balance of the Transaction Price shall be paid within 27 days after the date of the signing of the preliminary agreement for sale and purchase.,
2025-08-29,2025-09-05,,薄扶林道86A號 86A Pok Fu Lam Road,,,,159387200,,-售價 5%之臨時訂金於買方簽署臨時買賣合約時繳付; 5% of Transaction Price being preliminary deposit shall be paid upon the signing of the preliminary agreement for sale and purchase; -售價10%之部份售價於買方簽署臨時買賣合約後14天內繳付; 10% of Transaction Price being part payment shall be paid within 14 days after the date of the signing of the preliminary agreement for sale and purchase; -售價85%之售價餘款於買方簽署臨時買賣合約後45天內繳付。 85% of Transaction Price being balance of the Transaction Price shall be paid within 45 days after the date of the signing of the preliminary agreement for sale and purchase. -附設裝飾及家具優惠 Exclusive Decorations and Furniture Offer (見備註/See Remarks 7(b)),
2026-09-08,2026-09-15,,薄扶林道86B號 86B Pok Fu Lam Road,,,,230000000,,"-售價 5%之臨時訂金於買方簽署臨時買賣合約時繳付; 5% of Transaction Price being preliminary deposit shall be paid upon the signing of the preliminary agreement for sale and purchase; -港幣 $80,000,000元作為加付訂金於買方簽署臨時買賣合約後 20天 內繳付; HK$80,000,000 being further deposit shall be paid within 20 days after the date of the signing of the preliminary agreement for sale and purchase; -港幣 $138,500,000元作為售價餘款於買方簽署臨時買賣合約後30天 內繳付。 HK$138,500,000 being balance of the Transaction Price shall be paid within 30 days after the date of the signing of the preliminary agreement for sale and purchase. -附設裝飾及家具優惠 Exclusive Decorations and Furniture Offer (見備註/See Remarks 7(b))",
