pasp,asp,terminated,block,floor,unit,carpark,price,revision,terms,related
2014-09-19,2014-09-29,,,11,B,,6835050,,(1) 印花稅津貼優惠 7.5% “Subsidy of Stamp Duty Benefit” of 7.5%; (2) 特別折扣 9.5% Special Discount of 9.5%,
2014-09-19,2014-09-29,,,15,B,,6986940,,(1) 印花稅津貼優惠 7.5% “Subsidy of Stamp Duty Benefit” of 7.5%; (2) 特別折扣 9.5% Special Discount of 9.5%,
2014-09-19,2014-09-29,,,17,B,,7037570,,(1) 印花稅津貼優惠 7.5% “Subsidy of Stamp Duty Benefit” of 7.5%; (2) 特別折扣 9.5% Special Discount of 9.5%,
2014-09-27,2014-10-09,,,17,A,,8322991,,(1) 印花稅津貼優惠 7.5% “Subsidy of Stamp Duty Benefit” of 7.5%; (2) 特別折扣 9.5% Special Discount of 9.5%,
2014-09-27,2014-10-09,,,18,B,,7396860,,(1) 印花稅津貼優惠 7.5% “Subsidy of Stamp Duty Benefit” of 7.5%; (2) 特別折扣 6.5% Special Discount of 6.5%,
2014-10-11,2014-10-20,,,21,B,,7764080,,(1) 印花稅津貼優惠 7.5% “Subsidy of Stamp Duty Benefit” of 7.5%; (2) 特別折扣 6.5% Special Discount of 6.5%,
2014-12-20,2015-01-05,,,18,A,,8768517,,(1) 印花稅津貼優惠 7.5% “Subsidy of Stamp Duty Benefit” of 7.5%; (2) 特別折扣 6.5% Special Discount of 6.5%,
2014-12-20,2015-01-05,,,20,B,,7659160,,(1) 印花稅津貼優惠 7.5% “Subsidy of Stamp Duty Benefit” of 7.5%; (2) 特別折扣 6.5% Special Discount of 6.5%,
2015-01-11,2015-01-20,,,22,B,,7869000,,(1) 印花稅津貼優惠 7.5% “Subsidy of Stamp Duty Benefit” of 7.5%; (2) 特別折扣 6.5% Special Discount of 6.5%,
2015-01-23,2015-02-02,,,20,A,,9057907,,(1) 印花稅津貼優惠 7.5% “Subsidy of Stamp Duty Benefit” of 7.5%; (2) 特別折扣 6.5% Special Discount of 6.5%,
2015-01-23,2015-02-02,,,23,A,,9318358,,(1) 印花稅津貼優惠 7.5% “Subsidy of Stamp Duty Benefit” of 7.5%; (2) 特別折扣 6.5% Special Discount of 6.5%,
2015-02-16,2015-02-25,,,25,A,,9463053,,(1) 印花稅津貼優惠 7.5% “Subsidy of Stamp Duty Benefit” of 7.5%; (2) 特別折扣 6.5% Special Discount of 6.5%,
2015-02-24,2015-03-03,,,29,A,,16792872,,(1) 印花稅津貼優惠 8.5% “Subsidy of Stamp Duty Benefit” of 8.5%; (2) 特別折扣 12.5% Special Discount of 12.5%,
2015-03-03,2015-03-11,,,28,A,,15632125,,(1) 印花稅津貼優惠 8.5% “Subsidy of Stamp Duty Benefit” of 8.5%; (2) 特別折扣 12.5% Special Discount of 12.5%,
2015-03-10,2015-03-18,,,27,A,,15583000,,(1) 印花稅津貼優惠 7.5% “Subsidy of Stamp Duty Benefit” of 7.5%; (2) 特別折扣 12.5% Special Discount of 12.5%,
2015-03-10,,2015-03-18,,25,B,,8576600,,(1) 印花稅津貼優惠 7.5% “Subsidy of Stamp Duty Benefit” of 7.5%;,
2015-03-15,2015-03-23,,,5,B,,7528084,,(1) 印花稅津貼優惠 7.5% “Subsidy of Stamp Duty Benefit” of 7.5%; (2) 特別折扣 6.5% Special Discount of 6.5%,
2015-03-18,2015-03-26,,,25,B,,8576600,,(1) 印花稅津貼優惠 7.5% “Subsidy of Stamp Duty Benefit” of 7.5%;,
2015-03-22,2015-03-30,,,26,A,,15434800,,(1) 印花稅津貼優惠 7.5% “Subsidy of Stamp Duty Benefit” of 7.5%; (2) 特別折扣 12.5% Special Discount of 12.5%,
2015-04-26,2015-05-06,,,30&31,A,,25500000,,(1) 印花稅津貼優惠 8.5% “Subsidy of Stamp Duty Benefit” of 8.5%; (2) 特別折扣 16.5% Special Discount of 16.5%,
