pasp,asp,terminated,block,floor,unit,carpark,price,revision,terms,related
2021-05-13,2021-05-24,,"棕櫚徑 115 號洋房 (亦稱為 R10 洋房) House No.115, Palm Drive (Also known as House R10)",,"$83,980,000",,,,,
2021-07-09,2021-07-19,,"松柏徑 108 號洋房 (亦稱為 Qa1 洋房) House No.108, Cedar Drive (Also known as House Qa1)",,"$95,600,000",,,,,
2021-11-17,2021-11-26,,"松柏徑 110 號洋房 (亦稱為 Qa2 洋房) House No.110, Cedar Drive (Also known as House Qa2)",,"$97,000,000",,,,,
2021-11-30,2021-12-08,,"棕櫚徑 62 號洋房 (亦稱為 P4 洋房) House No.62, Palm Drive (Also known as House P4)",,"$84,800,000",,,,,
2023-03-07,2023-03-14,,"松柏徑 134 號洋房 (亦稱為 Qa10 洋房) House No.134, Cedar Drive (Also known as House Qa10)",,"$90,000,000",,,,,
